id,path,label
TRAIN_0000,./train/TRAIN_0000.wav,1
TRAIN_0001,./train/TRAIN_0001.wav,2
TRAIN_0002,./train/TRAIN_0002.wav,4
TRAIN_0003,./train/TRAIN_0003.wav,5
TRAIN_0004,./train/TRAIN_0004.wav,4
TRAIN_0005,./train/TRAIN_0005.wav,3
TRAIN_0006,./train/TRAIN_0006.wav,0
TRAIN_0007,./train/TRAIN_0007.wav,0
TRAIN_0008,./train/TRAIN_0008.wav,2
TRAIN_0009,./train/TRAIN_0009.wav,1
TRAIN_0010,./train/TRAIN_0010.wav,1
TRAIN_0011,./train/TRAIN_0011.wav,5
TRAIN_0012,./train/TRAIN_0012.wav,4
TRAIN_0013,./train/TRAIN_0013.wav,3
TRAIN_0014,./train/TRAIN_0014.wav,4
TRAIN_0015,./train/TRAIN_0015.wav,5
TRAIN_0016,./train/TRAIN_0016.wav,1
TRAIN_0017,./train/TRAIN_0017.wav,1
TRAIN_0018,./train/TRAIN_0018.wav,4
TRAIN_0019,./train/TRAIN_0019.wav,0
TRAIN_0020,./train/TRAIN_0020.wav,3
TRAIN_0021,./train/TRAIN_0021.wav,3
TRAIN_0022,./train/TRAIN_0022.wav,4
TRAIN_0023,./train/TRAIN_0023.wav,5
TRAIN_0024,./train/TRAIN_0024.wav,4
TRAIN_0025,./train/TRAIN_0025.wav,5
TRAIN_0026,./train/TRAIN_0026.wav,2
TRAIN_0027,./train/TRAIN_0027.wav,2
TRAIN_0028,./train/TRAIN_0028.wav,4
TRAIN_0029,./train/TRAIN_0029.wav,3
TRAIN_0030,./train/TRAIN_0030.wav,2
TRAIN_0031,./train/TRAIN_0031.wav,3
TRAIN_0032,./train/TRAIN_0032.wav,4
TRAIN_0033,./train/TRAIN_0033.wav,0
TRAIN_0034,./train/TRAIN_0034.wav,1
TRAIN_0035,./train/TRAIN_0035.wav,4
TRAIN_0036,./train/TRAIN_0036.wav,5
TRAIN_0037,./train/TRAIN_0037.wav,0
TRAIN_0038,./train/TRAIN_0038.wav,2
TRAIN_0039,./train/TRAIN_0039.wav,4
TRAIN_0040,./train/TRAIN_0040.wav,5
TRAIN_0041,./train/TRAIN_0041.wav,2
TRAIN_0042,./train/TRAIN_0042.wav,1
TRAIN_0043,./train/TRAIN_0043.wav,5
TRAIN_0044,./train/TRAIN_0044.wav,3
TRAIN_0045,./train/TRAIN_0045.wav,1
TRAIN_0046,./train/TRAIN_0046.wav,1
TRAIN_0047,./train/TRAIN_0047.wav,2
TRAIN_0048,./train/TRAIN_0048.wav,0
TRAIN_0049,./train/TRAIN_0049.wav,5
TRAIN_0050,./train/TRAIN_0050.wav,2
TRAIN_0051,./train/TRAIN_0051.wav,5
TRAIN_0052,./train/TRAIN_0052.wav,2
TRAIN_0053,./train/TRAIN_0053.wav,1
TRAIN_0054,./train/TRAIN_0054.wav,1
TRAIN_0055,./train/TRAIN_0055.wav,2
TRAIN_0056,./train/TRAIN_0056.wav,2
TRAIN_0057,./train/TRAIN_0057.wav,1
TRAIN_0058,./train/TRAIN_0058.wav,3
TRAIN_0059,./train/TRAIN_0059.wav,3
TRAIN_0060,./train/TRAIN_0060.wav,4
TRAIN_0061,./train/TRAIN_0061.wav,0
TRAIN_0062,./train/TRAIN_0062.wav,3
TRAIN_0063,./train/TRAIN_0063.wav,2
TRAIN_0064,./train/TRAIN_0064.wav,1
TRAIN_0065,./train/TRAIN_0065.wav,3
TRAIN_0066,./train/TRAIN_0066.wav,3
TRAIN_0067,./train/TRAIN_0067.wav,2
TRAIN_0068,./train/TRAIN_0068.wav,1
TRAIN_0069,./train/TRAIN_0069.wav,0
TRAIN_0070,./train/TRAIN_0070.wav,4
TRAIN_0071,./train/TRAIN_0071.wav,0
TRAIN_0072,./train/TRAIN_0072.wav,3
TRAIN_0073,./train/TRAIN_0073.wav,3
TRAIN_0074,./train/TRAIN_0074.wav,4
TRAIN_0075,./train/TRAIN_0075.wav,0
TRAIN_0076,./train/TRAIN_0076.wav,3
TRAIN_0077,./train/TRAIN_0077.wav,4
TRAIN_0078,./train/TRAIN_0078.wav,1
TRAIN_0079,./train/TRAIN_0079.wav,5
TRAIN_0080,./train/TRAIN_0080.wav,4
TRAIN_0081,./train/TRAIN_0081.wav,1
TRAIN_0082,./train/TRAIN_0082.wav,1
TRAIN_0083,./train/TRAIN_0083.wav,2
TRAIN_0084,./train/TRAIN_0084.wav,3
TRAIN_0085,./train/TRAIN_0085.wav,0
TRAIN_0086,./train/TRAIN_0086.wav,4
TRAIN_0087,./train/TRAIN_0087.wav,4
TRAIN_0088,./train/TRAIN_0088.wav,2
TRAIN_0089,./train/TRAIN_0089.wav,0
TRAIN_0090,./train/TRAIN_0090.wav,5
TRAIN_0091,./train/TRAIN_0091.wav,3
TRAIN_0092,./train/TRAIN_0092.wav,0
TRAIN_0093,./train/TRAIN_0093.wav,2
TRAIN_0094,./train/TRAIN_0094.wav,4
TRAIN_0095,./train/TRAIN_0095.wav,0
TRAIN_0096,./train/TRAIN_0096.wav,4
TRAIN_0097,./train/TRAIN_0097.wav,2
TRAIN_0098,./train/TRAIN_0098.wav,3
TRAIN_0099,./train/TRAIN_0099.wav,0
TRAIN_0100,./train/TRAIN_0100.wav,4
TRAIN_0101,./train/TRAIN_0101.wav,2
TRAIN_0102,./train/TRAIN_0102.wav,2
TRAIN_0103,./train/TRAIN_0103.wav,2
TRAIN_0104,./train/TRAIN_0104.wav,0
TRAIN_0105,./train/TRAIN_0105.wav,0
TRAIN_0106,./train/TRAIN_0106.wav,1
TRAIN_0107,./train/TRAIN_0107.wav,1
TRAIN_0108,./train/TRAIN_0108.wav,1
TRAIN_0109,./train/TRAIN_0109.wav,2
TRAIN_0110,./train/TRAIN_0110.wav,3
TRAIN_0111,./train/TRAIN_0111.wav,0
TRAIN_0112,./train/TRAIN_0112.wav,2
TRAIN_0113,./train/TRAIN_0113.wav,2
TRAIN_0114,./train/TRAIN_0114.wav,0
TRAIN_0115,./train/TRAIN_0115.wav,0
TRAIN_0116,./train/TRAIN_0116.wav,5
TRAIN_0117,./train/TRAIN_0117.wav,5
TRAIN_0118,./train/TRAIN_0118.wav,5
TRAIN_0119,./train/TRAIN_0119.wav,0
TRAIN_0120,./train/TRAIN_0120.wav,0
TRAIN_0121,./train/TRAIN_0121.wav,0
TRAIN_0122,./train/TRAIN_0122.wav,4
TRAIN_0123,./train/TRAIN_0123.wav,2
TRAIN_0124,./train/TRAIN_0124.wav,2
TRAIN_0125,./train/TRAIN_0125.wav,1
TRAIN_0126,./train/TRAIN_0126.wav,0
TRAIN_0127,./train/TRAIN_0127.wav,0
TRAIN_0128,./train/TRAIN_0128.wav,3
TRAIN_0129,./train/TRAIN_0129.wav,1
TRAIN_0130,./train/TRAIN_0130.wav,5
TRAIN_0131,./train/TRAIN_0131.wav,4
TRAIN_0132,./train/TRAIN_0132.wav,5
TRAIN_0133,./train/TRAIN_0133.wav,4
TRAIN_0134,./train/TRAIN_0134.wav,4
TRAIN_0135,./train/TRAIN_0135.wav,2
TRAIN_0136,./train/TRAIN_0136.wav,1
TRAIN_0137,./train/TRAIN_0137.wav,1
TRAIN_0138,./train/TRAIN_0138.wav,2
